Title,Year,Source title,DOI,Link
"Neurosurgeon: Collaborative intelligence between the cloud and mobile edge",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022021223&doi=10.1145%2f3037697.3037698&partnerID=40&md5=f5b2837c0f626fa120adf934d083298e"
"An Open-Source Benchmark Suite for Microservices and Their Hardware-Software Implications for Cloud & Edge Systems",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064688619&doi=10.1145%2f3297858.3304013&partnerID=40&md5=b9f662fba2a35d83eb40d32009cf7676"
"TETRIS: Scalable and efficient neural network acceleration with 3D memory",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021992804&doi=10.1145%2f3037697.3037702&partnerID=40&md5=dd2ee7a28aae03843ceaf9ddebf15228"
"PUMA: A Programmable Ultra-efficient Memristor-based Accelerator for Machine Learning Inference",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064688330&doi=10.1145%2f3297858.3304049&partnerID=40&md5=8893e6d2224b066bd793a80a08322b4b"
"DudeTM: Building durable transactions with decoupling for persistent memory",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021927718&doi=10.1145%2f3037697.3037714&partnerID=40&md5=7903f9e51a7fa8c8bc54d04f6b6e3c70"
"High-performance transactions for persistent memories",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975321497&doi=10.1145%2f2872362.2872381&partnerID=40&md5=f16b901efe9c39ac0b6abc79422f2386"
"Not All Qubits Are Created Equal: A Case for Variability-Aware Policies for NISQ-Era Quantum Computers",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064606589&doi=10.1145%2f3297858.3304007&partnerID=40&md5=e3bd4962d9ced2234ef316aac6e54780"
"Noise-Adaptive Compiler Mappings for Noisy Intermediate-Scale Quantum Computers",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064662760&doi=10.1145%2f3297858.3304075&partnerID=40&md5=4f9b2dce6d954d6ca4fa71f2f5fd4cfb"
"Tackling the Qubit Mapping Problem for NISQ-Era Quantum Devices",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064641337&doi=10.1145%2f3297858.3304023&partnerID=40&md5=287ce6702d8cc074a3e60d3f1b3b0623"
"A DNA-based archival storage system",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975246028&doi=10.1145%2f2872362.2872397&partnerID=40&md5=830b3136066c2bea1b0e536700c3924c"
"Maximizing performance under a power cap: A comparison of hardware, software, and hybrid techniques",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975296974&doi=10.1145%2f2872362.2872375&partnerID=40&md5=da0bee3fb6a0b3f6675686f4d4842552"
"PARTIES: QoS-Aware Resource Partitioning for Multiple Interactive Services",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064601154&doi=10.1145%2f3297858.3304005&partnerID=40&md5=4055a3f1ad5f004e9dfb025ceb4c7fc2"
"The architectural implications of autonomous driving: Constraints and acceleration",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045397705&doi=10.1145%2f3173162.3173191&partnerID=40&md5=2aa02ef67f9e40374ad66cbbf84cc4cb"
"Memory errors in modern systems: The good, the bad, and the ugly",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939128673&doi=10.1145%2f2694344.2694348&partnerID=40&md5=a96a7e0976b0d663bf5e0003fb0f2ce5"
"Sirius: An open end-to-end voice and vision personal assistant and its implications for future warehouse scale computers",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939202658&doi=10.1145%2f2694344.2694347&partnerID=40&md5=1e5c86dc98b6a15e7c6049c7ffdcb0d6"
"High performance packet processing with FlexNIC",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975322187&doi=10.1145%2f2872362.2872367&partnerID=40&md5=57cb70374523a7abb3b5fa142a9a5b70"
"PuDianNao: A polyvalent machine learning accelerator",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939194962&doi=10.1145%2f2694344.2694358&partnerID=40&md5=33d8cc8b797cb4db3296af7c5ef6aa5b"
"Seer: Leveraging Big Data to Navigate the Complexity of Performance Debugging in Cloud Microservices",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064659746&doi=10.1145%2f3297858.3304004&partnerID=40&md5=67a5e54db5ebf1ecee4bb2bc5f5c7790"
"Failure-atomic persistent memory updates via JUSTDO logging",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872410","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975257893&doi=10.1145%2f2872362.2872410&partnerID=40&md5=9b7a875a53f96d08cc3f8ced22d4d8e3"
"An analysis of persistent memory use with WHISPER",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022027844&doi=10.1145%2f3037697.3037730&partnerID=40&md5=a53b84b55a0a0f071069577c7032be99"
"SC-DCNN: Highly-scalable deep convolutional neural network using stochastic computing",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022070818&doi=10.1145%2f3037697.3037746&partnerID=40&md5=a27daad01bc493106878cdbcb2cb54a2"
"Intelligence beyond the Edge: Inference on Intermittent Embedded Systems",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064700158&doi=10.1145%2f3297858.3304011&partnerID=40&md5=88f0a691ef0c291f34c16a59899aa33a"
"NVWAL: Exploiting NVRAM in write-ahead logging",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975311598&doi=10.1145%2f2872362.2872392&partnerID=40&md5=359a3ab0d45ba5430aa2b5fc9f138539"
"Catalyzer: Sub-millisecond startup for serverless computing with initialization-less booting",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082400852&doi=10.1145%2f3373376.3378512&partnerID=40&md5=7efa51b655f8910603f7a378b26b339f"
"ADMM-NN: An Algorithm-Hardware Co-Design Framework of DNNs Using Alternating Direction Method of Multipliers",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064599705&doi=10.1145%2f3297858.3304076&partnerID=40&md5=ef2b4d45973ddf6a068884145f9c86c5"
"MAERI: Enabling flexible dataflow mapping over DNN accelerators via reconfigurable interconnects",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045415499&doi=10.1145%2f3173162.3173176&partnerID=40&md5=46110dd509480f3cfc23244edd02adcf"
"DeepSigns: An End-to-End Watermarking Framework for Ownership Protection of Deep Neural Networks",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064670467&doi=10.1145%2f3297858.3304051&partnerID=40&md5=bb21e70c723c3729cfded93dfcd71f12"
"Packing Sparse Convolutional Neural Networks for Efficient Systolic Array Implementations: Column Combining under Joint Optimization",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064651792&doi=10.1145%2f3297858.3304028&partnerID=40&md5=154354d2aa3ce5b286553862e1a4f989"
"OpenPiton: An open source manycore research framework",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975318681&doi=10.1145%2f2872362.2872414&partnerID=40&md5=e277d48d311a420a419287ad90942e24"
"Google workloads for consumer devices: Mitigating data movement bottlenecks",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045390456&doi=10.1145%2f3173162.3173177&partnerID=40&md5=96107b6ff5168c7303fe6b7af723dba3"
"Dirigent: Enforcing QoS for latency-critical tasks on shared multicore systems",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975284870&doi=10.1145%2f2872362.2872394&partnerID=40&md5=48cc5007920f0f8dfc0bf583c94c1ec5"
"ApproxHadoop: Bringing approximations to MapReduce frameworks",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939152637&doi=10.1145%2f2694344.2694351&partnerID=40&md5=73b1112ab8bee1ed6466743f55d55037"
"GPU concurrency: Weak behaviours and programming assumptions",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930325495&doi=10.1145%2f2694344.2694391&partnerID=40&md5=10a9aad269770a047d37b6bbac2eb93b"
"BranchScope: A new side-channel attack on directional branch predictor",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045378677&doi=10.1145%2f3173162.3173204&partnerID=40&md5=9873a58dd8c7c8f3a5e95d6c2497cc95"
"ANVIL: Software-based protection against next-generation rowhammer attacks",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975229566&doi=10.1145%2f2872362.2872390&partnerID=40&md5=286d6ca18d5e56e636eecee403b83036"
"PatDNN: Achieving real-time DNN execution on mobile devices with pattern-based weight pruning",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082393863&doi=10.1145%2f3373376.3378534&partnerID=40&md5=ee5a630b437eadc24a60a5ec0665cfcf"
"Thermostat: Application-transparent page management for two-tiered main memory",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021890538&doi=10.1145%2f3037697.3037706&partnerID=40&md5=977fa6a805050baba1a6c2951ad0340a"
"Mojim: A reliable and highly-available non-volatile memory system",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939193521&doi=10.1145%2f2694344.2694370&partnerID=40&md5=1df492172ec0a5caadcfaa86181f7bc6"
"FlatStore: An efficient log-structured key-value storage engine for persistent memory",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082397299&doi=10.1145%2f3373376.3378515&partnerID=40&md5=a0b20c0b828959aa1ff569ad9635ba83"
"Software mitigation of crosstalk on noisy intermediate-scale quantum computers",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378477","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082395983&doi=10.1145%2f3373376.3378477&partnerID=40&md5=515fbb98e5b0a5d0ea89c89036c35119"
"Context-Sensitive Fencing: Securing Speculative Execution via Microcode Customization",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064228495&doi=10.1145%2f3297858.3304060&partnerID=40&md5=0ed392e576e117b84dd498adf9c96b74"
"Page placement strategies for GPUS within heterogeneous memory systems",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934302307&doi=10.1145%2f2694344.2694381&partnerID=40&md5=6afd102990c1c84bc0b6d198fdf3b63c"
"TaxDC: A taxonomy of non-deterministic concurrency bugs in datacenter distributed systems",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975298408&doi=10.1145%2f2872362.2872374&partnerID=40&md5=795103377627b24777cf996dad550b6f"
"Baymax: QoS awareness and increased utilization for non-preemptive accelerators in warehouse scale computers",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975267270&doi=10.1145%2f2872362.2872368&partnerID=40&md5=77e0b9fd28a186fcce6a621493a36f86"
"Optimized Compilation of Aggregated Instructions for Realistic Quantum Computers",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064647581&doi=10.1145%2f3297858.3304018&partnerID=40&md5=b8102bf6e44986a29c450c221dd68389"
"DEUCE: Write-efficient encryption for non-volatile memories",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939151526&doi=10.1145%2f2694344.2694387&partnerID=40&md5=f1a7eefedf8d7750f348fc98925ab5c4"
"Tangram: Optimized Coarse-Grained Dataflow for Scalable NN Accelerators",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064595913&doi=10.1145%2f3297858.3304014&partnerID=40&md5=4609e14b313a0c94f0f1d8ea6658e374"
"ReFlex: Remote flash ≈ local flash",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020720084&doi=10.1145%2f3037697.3037732&partnerID=40&md5=43b1924247623367f63f75cfddf7cd20"
"Silent shredder: Zero-cost shredding for secure non-volatile main memory controllers",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975292524&doi=10.1145%2f2872362.2872377&partnerID=40&md5=83965353041fd0db8a1ab3de51a1045a"
"HCloud: Resource-efficient provisioning in shared cloud systems",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975250738&doi=10.1145%2f2872362.2872365&partnerID=40&md5=6fc7090860a9158efb120d56c55178f9"
"Interstellar: Using halide's scheduling language to analyze DNN accelerators",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082397074&doi=10.1145%2f3373376.3378514&partnerID=40&md5=6733525510ce6a335bfae85e8a49989a"
"Griffin: Guarding control flows using intel processor trace",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018495859&doi=10.1145%2f3037697.3037716&partnerID=40&md5=0be890ff0a369b2a8fdaebf26636993d"
"PMTest: A Fast and Flexible Testing Framework for Persistent Memory Programs",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064632166&doi=10.1145%2f3297858.3304015&partnerID=40&md5=516f6d1f28f061e78fecb82dbc24339b"
"Espresso: Brewing Java for more non-volatility with non-volatile memory",2018,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3173162.3173201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045415530&doi=10.1145%2f3173162.3173201&partnerID=40&md5=516f83c77c33203ec43ce23e1c47fae0"
"Efficient address translation for architectures with multiple page sizes",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021985512&doi=10.1145%2f3037697.3037704&partnerID=40&md5=38a5853eb0a7333997ef028606bf4d73"
"CloudSeer: Workflow monitoring of cloud infrastructures via interleaved logs",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975221748&doi=10.1145%2f2872362.2872407&partnerID=40&md5=7d2356c529c071beb7fa65d3c222a33a"
"Few-to-many: Incremental parallelism for reducing tail latency in interactive services",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939203584&doi=10.1145%2f2694344.2694384&partnerID=40&md5=fa844663ef894f7b91f4abdb7e2c942c"
"A hardware design language for timing-sensitive information-flow security",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939168471&doi=10.1145%2f2694344.2694372&partnerID=40&md5=90fa6fcfbda081e12432bdcec58ae478"
"Scaling up superoptimization",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975256805&doi=10.1145%2f2872362.2872387&partnerID=40&md5=1e7f93ee179dac70d4b10ee3e1cda903"
"COGENT: Verifying high-assurance file system implementations",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975230846&doi=10.1145%2f2872362.2872404&partnerID=40&md5=2fde24da13aacb5efb7c2e915866f6c2"
"Finding and Fixing Performance Pathologies in Persistent Memory Software Stacks",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064687819&doi=10.1145%2f3297858.3304077&partnerID=40&md5=38a6453cf8dcf730b47665a35824619b"
"GhostRider: A hardware-software system for memory trace oblivious computation",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939198646&doi=10.1145%2f2694344.2694385&partnerID=40&md5=f1af845ce8e958c6707390a15bccbe05"
"Chimera: Collaborative preemption for multitasking on a shared GPU",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939158939&doi=10.1145%2f2694344.2694346&partnerID=40&md5=9be960935e2ff0a97db8691f0f903dfd"
"Asynchronized concurrency: The secret to scaling concurrent search data structures",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939133139&doi=10.1145%2f2694344.2694359&partnerID=40&md5=219102b27ba1b8400fd5001bc00f772a"
"Nimble Page Management for Tiered Memory Systems",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064659161&doi=10.1145%2f3297858.3304024&partnerID=40&md5=e86c3227e85ece2ea1143296e29bdc72"
"HEAX: An architecture for computing on encrypted data",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378523","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082402090&doi=10.1145%2f3373376.3378523&partnerID=40&md5=b18e75b25672165f067fd3b07f641d90"
"Proactive control of approximate programs",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975316715&doi=10.1145%2f2872362.2872402&partnerID=40&md5=23b0b899b8d3f096c27545f4182dee55"
"NumaGiC: A garbage collector for big data on big NUMA machines",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939189058&doi=10.1145%2f2694344.2694361&partnerID=40&md5=2481f83210b0eef2d890d370221e512b"
"FPSA: A Full System Stack Solution for Reconfigurable ReRAM-based NN Accelerator Architecture",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064668467&doi=10.1145%2f3297858.3304048&partnerID=40&md5=33538691df66845add275ea4aaa40f52"
"Bit-Tactical: A Software/Hardware Approach to Exploiting Value and Bit Sparsity in Neural Networks",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064612452&doi=10.1145%2f3297858.3304041&partnerID=40&md5=b31f02baf4d9e5f4d43f830d01d7d520"
"FACADE: A compiler and runtime for (Almost) object-bounded Big Data applications",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939193057&doi=10.1145%2f2694344.2694345&partnerID=40&md5=b4280c5396a319c69a0cca69218a760d"
"KickStarter: Fast and accurate computations on streaming graphs via trimmed approximations",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022074149&doi=10.1145%2f3037697.3037748&partnerID=40&md5=46da71ad4c8bd8e5dc1f4331843466f2"
"IncBricks: Toward in-network computation with an in-network cache",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021901132&doi=10.1145%2f3037697.3037731&partnerID=40&md5=ab2cf038fd758e24a655cdb1766df1c7"
"Locality-aware CTA Clustering for modern GPUs",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021898489&doi=10.1145%2f3037697.3037709&partnerID=40&md5=ed2988e9d6541a2b5a65b25b7785ae74"
"X-Containers: Breaking Down Barriers to Improve Performance and Isolation of Cloud-Native Containers",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063875113&doi=10.1145%2f3297858.3304016&partnerID=40&md5=99e6e4114baecaad70be9ae2877a7bcf"
"Black-box concurrent data structures for NUMA architectures",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022055110&doi=10.1145%2f3037697.3037721&partnerID=40&md5=e633223cf0bc3e0ee2b3c545e1692bab"
"Dynamic resource management for efficient utilization of multitasking GPUs",2017,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3037697.3037707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022043269&doi=10.1145%2f3037697.3037707&partnerID=40&md5=c3bb8b63ea8d42dc58f00cb46bc02035"
"Taurus: A holistic language runtime system for coordinating distributed managed-language applications",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975299409&doi=10.1145%2f2872362.2872386&partnerID=40&md5=6c8451878a07c4012312ce64fd403316"
"MOD: Minimally ordered durable datastructures for persistent memory",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082395249&doi=10.1145%2f3373376.3378472&partnerID=40&md5=b8d825899b59eebe423f34a7a786e995"
"Orbital edge computing: Nanosatellite constellations as a new class of computer system",2020,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3373376.3378473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082385249&doi=10.1145%2f3373376.3378473&partnerID=40&md5=7afd544866b18b12b4a6de574e0a02b6"
"HawkEye: Efficient Fine-grained OS Support for Huge Pages",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064685975&doi=10.1145%2f3297858.3304064&partnerID=40&md5=04f5c510c6771d2c9cc2400e925c5607"
"COATCheck: Verifying memory ordering at the hardware-OS interface",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975284983&doi=10.1145%2f2872362.2872399&partnerID=40&md5=96e61f83f9b88049781d289c8650f871"
"PolyMage: Automatic optimization for image processing pipelines",2015,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2694344.2694364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939165258&doi=10.1145%2f2694344.2694364&partnerID=40&md5=6b1d6b4c399f93c48bba68de17a58884"
"Buffets: An Efficient and Composable Storage Idiom for Explicit Decoupled Data Orchestration",2019,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/3297858.3304025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064649326&doi=10.1145%2f3297858.3304025&partnerID=40&md5=e62821764a3149a9556a9df5014e417a"
"Generating configurable hardware from parallel patterns",2016,"International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS","10.1145/2872362.2872415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975288430&doi=10.1145%2f2872362.2872415&partnerID=40&md5=1075d99a69f3ac82350f7f9d68c2ac41"
